Open Time,Open,High,Low,Close,Volume,Number of Trades,Taker Buy Base,Taker_Avg_Cost,fundingRate
2022-01-01 00:00:00,3676.01,3747.78,3676.01,3722.07,116271.79,198471.0,57736.86,3719.1733,1e-04
2022-01-01 04:00:00,3722.07,3764.03,3701.16,3714.77,141654.52,219819.0,69745.13,3726.6355,1e-04
2022-01-01 08:00:00,3714.77,3733.33,3671.86,3692.08,150783.67,231895.0,71655.47,3707.1646,1e-04
2022-01-01 12:00:00,3692.09,3744.99,3690.78,3723.98,126802.58,222479.0,66080.93,3716.585,1e-04
2022-01-01 16:00:00,3723.98,3765.0,3716.43,3745.22,121449.66,211218.0,60557.67,3743.654,1e-04
2022-01-01 20:00:00,3745.22,3776.33,3737.41,3763.06,98657.57,169489.0,49197.31,3757.6086,1e-04
2022-01-02 00:00:00,3763.05,3770.0,3740.03,3756.54,73133.43,143397.0,35271.88,3753.4966,3.876e-05
2022-01-02 04:00:00,3756.64,3759.75,3714.48,3745.52,92299.055,171615.0,44131.332,3736.6082,3.876e-05
2022-01-02 08:00:00,3745.53,3769.25,3730.5,3742.48,80636.33,155193.0,42283.477,3749.6062,2.263e-05
2022-01-02 12:00:00,3742.46,3790.43,3728.2,3776.17,118529.55,197734.0,63564.74,3757.877,2.263e-05
2022-01-02 16:00:00,3776.18,3860.0,3770.56,3797.01,293953.88,408715.0,151764.8,3813.3804,6.714e-05
2022-01-02 20:00:00,3797.01,3838.25,3792.09,3826.21,81527.19,175015.0,43180.855,3816.8977,6.714e-05
2022-01-03 00:00:00,3826.1,3826.97,3772.85,3784.1,115349.78,190340.0,52953.832,3799.5999,6.973e-05
2022-01-03 04:00:00,3784.1,3821.99,3778.25,3806.97,85813.34,154905.0,44643.46,3803.935,6.973e-05
2022-01-03 08:00:00,3806.96,3844.67,3790.01,3832.51,132361.77,209413.0,68944.14,3819.4978,5.084e-05
2022-01-03 12:00:00,3832.51,3850.0,3775.0,3782.3,218422.16,297722.0,100097.62,3814.3584,5.084e-05
2022-01-03 16:00:00,3782.29,3792.81,3732.2,3737.57,219012.89,299708.0,106987.98,3755.6072,7.394e-05
2022-01-03 20:00:00,3737.45,3775.86,3680.0,3764.07,228919.4,329715.0,111914.7,3724.2168,7.394e-05
2022-01-04 00:00:00,3764.07,3772.0,3711.0,3742.67,123831.97,206494.0,63394.7,3741.3674,1e-04
2022-01-04 04:00:00,3742.66,3763.18,3726.45,3761.92,100104.25,178217.0,49693.754,3746.5833,1e-04
2022-01-04 08:00:00,3761.91,3840.72,3755.23,3836.19,236747.95,313165.0,124161.016,3799.5945,1e-04
2022-01-04 12:00:00,3836.19,3893.19,3815.0,3849.02,291036.2,385090.0,146228.66,3856.4514,1e-04
2022-01-04 16:00:00,3849.02,3863.82,3756.71,3812.0,367061.06,423725.0,182181.16,3818.2297,1e-04
2022-01-04 20:00:00,3812.0,3833.39,3784.1,3785.6,134999.27,195866.0,65923.2,3812.6787,1e-04
2022-01-05 00:00:00,3785.6,3827.0,3767.0,3808.7,117269.805,182709.0,59698.12,3799.5266,1e-04
2022-01-05 04:00:00,3808.67,3822.63,3797.0,3816.32,70794.24,128604.0,35592.21,3810.916,1e-04
2022-01-05 08:00:00,3816.32,3847.18,3780.01,3790.85,169165.77,240914.0,78072.484,3815.537,1e-04
2022-01-05 12:00:00,3790.86,3833.55,3762.42,3819.25,252397.39,334366.0,127015.49,3801.7122,1e-04
2022-01-05 16:00:00,3819.25,3821.7,3638.0,3653.62,416255.28,530663.0,189454.14,3728.2424,1e-04
2022-01-05 20:00:00,3653.54,3663.56,3405.0,3537.71,788099.5,975590.0,381023.16,3559.4058,1e-04
2022-01-06 00:00:00,3537.81,3549.11,3443.57,3447.77,267095.84,377646.0,130867.664,3509.6538,5.376e-05
2022-01-06 04:00:00,3448.0,3478.65,3405.42,3452.21,323223.06,439735.0,163357.16,3446.0657,5.376e-05
2022-01-06 08:00:00,3452.2,3454.95,3292.31,3347.99,550831.8,672846.0,258412.6,3360.0085,1e-04
2022-01-06 12:00:00,3347.99,3423.84,3316.1,3394.68,355332.12,459232.0,179069.44,3377.719,1e-04
2022-01-06 16:00:00,3394.41,3458.3,3380.77,3444.64,224024.64,327172.0,116302.81,3422.2915,4.332e-05
2022-01-06 20:00:00,3444.64,3456.63,3403.37,3404.6,119981.87,198201.0,54757.863,3426.1963,4.332e-05
2022-01-07 00:00:00,3404.61,3415.35,3220.29,3238.05,406671.9,535155.0,189889.25,3318.3147,1.935e-05
2022-01-07 04:00:00,3238.05,3251.04,3112.5,3201.99,760873.5,916773.0,368816.34,3186.2002,1.935e-05
2022-01-07 08:00:00,3202.0,3294.84,3188.12,3225.08,384640.53,485431.0,194620.48,3238.0503,1e-04
2022-01-07 12:00:00,3225.07,3268.89,3040.77,3130.02,707967.5,874583.0,332107.56,3178.3364,1e-04
2022-01-07 16:00:00,3130.13,3224.0,3087.62,3195.96,431165.5,574226.0,218876.7,3168.2878,1e-04
